loss,mean_squared_error,val_loss,val_mean_squared_error
1197.9303,239.5861,680.5645,136.1129
1083.3583,216.6717,796.6331,159.3266
1026.811,205.3622,830.0639,166.0128
996.2346,199.2469,859.606,171.9212
966.7678,193.3535,828.5682,165.7136
931.0059,186.2011,809.4063,161.8813
907.2128,181.4426,813.482,162.6965
883.4405,176.6881,823.5652,164.7131
857.11,171.422,815.9636,163.1927
821.1011,164.2202,814.8581,162.9716
793.4829,158.6966,792.5062,158.5012
775.2464,155.0493,765.9385,153.1877
750.4918,150.0984,738.7411,147.7482
714.8568,142.9714,711.0252,142.2051
695.0824,139.0165,691.3044,138.2609
663.8745,132.7749,662.8354,132.567
636.1313,127.2263,645.8758,129.1752
616.6432,123.3286,624.5724,124.9145
586.9655,117.3931,599.7667,119.9534
563.0767,112.6153,559.2629,111.8526
523.5146,104.7029,519.9233,103.9847
494.8571,98.9714,493.5598,98.712
460.0061,92.0012,472.002,94.4004
431.3241,86.2648,438.2825,87.6565
404.6713,80.9343,397.0692,79.4139
372.5179,74.5036,402.7855,80.5571
348.5535,69.7107,371.5104,74.3021
326.3417,65.2683,333.3826,66.6765
302.6272,60.5254,326.3095,65.2619
279.8459,55.9692,300.2545,60.0509
261.9517,52.3903,281.8976,56.3795
232.2537,46.4507,264.2491,52.8498
218.0997,43.62,240.4375,48.0875
197.4721,39.4944,230.8509,46.1702
185.3221,37.0644,183.8356,36.7671
161.6758,32.3352,172.84,34.568
148.6322,29.7264,162.6216,32.5243
128.3981,25.6796,153.5737,30.7147
113.5927,22.7185,135.5585,27.1117
102.0238,20.4048,113.668,22.7336
88.9465,17.7893,107.5874,21.5175
81.9967,16.3993,105.0875,21.0175
70.834,14.1668,96.0805,19.2161
62.3559,12.4712,87.4731,17.4946
54.3084,10.8617,65.4319,13.0864
49.9834,9.9967,63.1284,12.6257
44.3815,8.8763,62.8457,12.5691
39.1109,7.8222,52.3794,10.4759
34.7866,6.9573,44.1534,8.8307
29.928,5.9856,38.2565,7.6513
26.4689,5.2938,35.3771,7.0754
22.306,4.4612,33.4607,6.6921
19.1782,3.8356,30.1495,6.0299
17.0775,3.4155,25.7826,5.1565
15.5611,3.1122,26.7092,5.3418
12.9307,2.5861,17.8908,3.5782
11.5303,2.3061,18.1768,3.6354
10.1429,2.0286,17.7481,3.5496
8.9131,1.7826,14.3031,2.8606
7.2093,1.4419,13.5766,2.7153
7.1021,1.4204,13.7907,2.7581
6.2204,1.2441,12.8478,2.5696
6.0856,1.2171,14.4334,2.8867
5.8701,1.174,10.7613,2.1523
5.0881,1.0176,10.2144,2.0429
4.5244,0.9049,7.6493,1.5299
3.7748,0.755,10.0396,2.0079
3.6961,0.7392,7.8061,1.5612
3.7285,0.7457,9.0332,1.8066
3.7444,0.7489,6.9665,1.3933
2.8932,0.5786,6.5448,1.309
2.8042,0.5608,7.6827,1.5365
2.6597,0.5319,6.6738,1.3348
2.9502,0.59,5.1707,1.0341
2.7848,0.557,3.1433,0.6287
